alex	92	7	34-68-90-95-93-91-92-	15/3/2026	09:54:13
CPU	85	8	78-79-80-81-82-83-84-85-	15/3/2026	09:55:09
CPU	31	11	21-22-23-24-25-26-27-28-29-30-31-	15/3/2026	09:59:05
CPU	32	58	89-88-87-86-85-84-83-82-81-80-79-78-77-76-75-74-73-72-71-70-69-68-67-66-65-64-63-62-61-60-59-58-57-56-55-54-53-52-51-50-49-48-47-46-45-44-43-42-41-40-39-38-37-36-35-34-33-32-	15/3/2026	09:59:29
siru	73	7	57-79-68-72-76-74-73-	15/3/2026	15:43:01
ale	44	7	50-25-33-45-40-43-44-	15/3/2026	15:44:30
sira	69	6	68-85-76-6-6-69-	15/3/2026	15:44:58
a	58	7	51-75-66-59-54-57-58-	15/3/2026	15:45:50
CPU	1	71	71-70-69-68-67-66-65-64-63-62-61-60-59-58-57-56-55-54-53-52-51-50-49-48-47-46-45-44-43-42-41-40-39-38-37-36-35-34-33-32-31-30-29-28-27-26-25-24-23-22-21-20-19-18-17-16-15-14-13-12-11-10-9-8-7-6-5-4-3-2-1-	15/3/2026	15:46:34
sira	71	6	68-75-69-73-72-71-	15/3/2026	15:46:46
ale	11	7	50-25-13-7-10-12-11-	15/3/2026	15:47:22
siru	43	5	69-45-33-38-43-	15/3/2026	15:47:59
a	33	3	69-46-33-	15/3/2026	15:49:00
sira	57	4	55-78-69-57-	15/3/2026	15:49:25
a	6	8	59-42-13-7-3-5-8-6-	15/3/2026	15:49:51
siru	54	5	58-43-49-51-54-	15/3/2026	15:50:32
ale	63	6	11-59-99-70-65-63-	15/3/2026	15:51:11
siru	8	9	56-42-31-20-13-6-9-7-8-	15/3/2026	15:51:37
ale	10	7	56-42-13-7-9-11-10-	15/3/2026	15:52:15
siru	62	7	55-78-66-59-63-60-62-	15/3/2026	15:52:43
a	10	6	79-46-13-9-11-10-	15/3/2026	15:53:44
ale	59	7	69-42-55-60-57-58-59-	15/3/2026	15:54:19
sira	50	8	67-47-59-54-49-53-51-50-	15/3/2026	15:54:53
ale	81	11	33-64-99-78-67-89-80-85-83-82-81-	15/3/2026	15:55:51
a	93	6	57-69-87-95-92-93-	15/3/2026	15:56:21
sira	77	5	54-79-69-74-77-	15/3/2026	18:39:45
ale	9	7	33-15-7-12-10-8-9-	15/3/2026	18:40:36
sira	54	8	66-53-6-61-57-53-55-54-	15/3/2026	18:41:01
ale	77	4	69-79-75-77-	15/3/2026	18:42:02
s	37	8	69-58-42-21-34-39-36-37-	15/3/2026	18:42:18
a	79	8	11-69-87-76-80-77-78-79-	15/3/2026	18:43:06
s	9	10	66-53-42-35-22-17-2-13-7-9-	15/3/2026	18:44:11
a	3	5	51-23-12-5-3-	15/3/2026	18:44:54
s	16	8	66-44-22-11-17-14-15-16-	15/3/2026	18:45:16
sira	79	8	58-69-77-98-87-84-792-79-	17/3/2026	16:06:11
ale	71	6	51-75-63-69-73-71-	17/3/2026	16:07:18
a	41	3	47-33-41-	17/3/2026	16:07:46
s	77	6	58-78-67-72-76-77-	17/3/2026	16:08:17
a	1	8	69-43-22-11-7-3-2-1-	17/3/2026	16:09:22
s	78	4	5-58-69-78-	17/3/2026	16:10:03
a	4	6	33-17-9-2-5-4-	17/3/2026	16:10:33
f	36	6	50-25-37-31-34-36-	19/3/2026	11:01:00
69	6	7	69-33-11-7-2-5-6-	19/3/2026	11:02:32
